Team,Arsenal,Aston Villa,Bournemouth,Brentford,Brighton & Hove Albion,Chelsea,Crystal Palace,Everton,Fulham,Leeds United,Leicester City,Liverpool,Manchester City,Manchester United,Newcastle United,Nottingham Forest,Southampton,Tottenham Hotspur,West Ham United,Wolverhampton Wanderers
Arsenal,0.8815776315921051,1.3157763159210515e-07,1.3157763159210515e-07,0.006579013157236848,0.013157894736842106,1.3157763159210515e-07,1.3157763159210515e-07,0.013157894736842106,1.3157763159210515e-07,1.3157763159210515e-07,1.3157763159210515e-07,0.006579013157236848,0.02631565789605262,0.013157894736842106,0.006579013157236848,0.013157894736842106,0.013157894736842106,1.3157763159210515e-07,0.006579013157236848,1.3157763159210515e-07
Aston Villa,0.02631565789605262,0.7828944078980262,0.013157894736842106,0.006579013157236848,1.3157763159210515e-07,0.013157894736842106,0.013157894736842106,1.3157763159210515e-07,0.013157894736842106,0.006579013157236848,0.013157894736842106,0.019736776316447362,0.019736776316447362,0.013157894736842106,0.013157894736842106,0.006579013157236848,1.3157763159210515e-07,1.3157763159210515e-07,0.019736776316447362,0.019736776316447362
Bournemouth,0.02631565789605262,0.013157894736842106,0.6842111842039474,0.019736776316447362,0.02631565789605262,0.02631565789605262,0.02631565789605262,0.013157894736842106,0.006579013157236848,0.013157894736842106,1.3157763159210515e-07,0.013157894736842106,0.02631565789605262,0.02631565789605262,0.013157894736842106,0.006579013157236848,0.013157894736842106,0.013157894736842106,0.02631565789605262,0.006579013157236848
Brentford,0.019736776316447362,0.019736776316447362,0.006579013157236848,0.7894732894776315,0.006579013157236848,0.006579013157236848,0.013157894736842106,0.019736776316447362,0.013157894736842106,0.006579013157236848,0.013157894736842106,0.013157894736842106,1.3157763159210515e-07,0.013157894736842106,0.02631565789605262,0.006579013157236848,1.3157763159210515e-07,0.006579013157236848,1.3157763159210515e-07,0.019736776316447362
Brighton & Hove Albion,0.013157894736842106,0.02631565789605262,1.3157763159210515e-07,0.019736776316447362,0.7894732894776315,1.3157763159210515e-07,0.006579013157236848,0.013157894736842106,0.02631565789605262,0.006579013157236848,0.006579013157236848,0.006579013157236848,0.019736776316447362,1.3157763159210515e-07,0.019736776316447362,0.019736776316447362,1.3157763159210515e-07,0.02631565789605262,1.3157763159210515e-07,1.3157763159210515e-07
Chelsea,0.02631565789605262,0.013157894736842106,1.3157763159210515e-07,0.019736776316447362,0.02631565789605262,0.7171055921019738,1.3157763159210515e-07,0.006579013157236848,0.019736776316447362,0.013157894736842106,1.3157763159210515e-07,0.013157894736842106,0.02631565789605262,0.019736776316447362,0.019736776316447362,0.013157894736842106,0.02631565789605262,0.019736776316447362,0.006579013157236848,0.013157894736842106
Crystal Palace,0.02631565789605262,0.013157894736842106,1.3157763159210515e-07,0.013157894736842106,0.019736776316447362,0.02631565789605262,0.723684473681579,0.019736776316447362,0.019736776316447362,1.3157763159210515e-07,0.006579013157236848,0.013157894736842106,0.02631565789605262,0.019736776316447362,0.013157894736842106,0.019736776316447362,1.3157763159210515e-07,0.02631565789605262,1.3157763159210515e-07,0.013157894736842106
Everton,0.013157894736842106,0.02631565789605262,0.013157894736842106,0.006579013157236848,0.013157894736842106,0.019736776316447362,0.006579013157236848,0.6842111842039474,0.019736776316447362,0.006579013157236848,0.019736776316447362,0.019736776316447362,0.019736776316447362,0.02631565789605262,0.02631565789605262,0.013157894736842106,0.013157894736842106,0.019736776316447362,0.013157894736842106,0.019736776316447362
Fulham,0.02631565789605262,0.013157894736842106,0.019736776316447362,0.013157894736842106,1.3157763159210515e-07,0.006579013157236848,0.006579013157236848,0.006579013157236848,0.7434211184203947,1.3157763159210515e-07,1.3157763159210515e-07,0.019736776316447362,0.02631565789605262,0.02631565789605262,0.02631565789605262,1.3157763159210515e-07,1.3157763159210515e-07,0.02631565789605262,0.02631565789605262,0.013157894736842106
Leeds United,0.02631565789605262,0.019736776316447362,0.013157894736842106,0.019736776316447362,0.019736776316447362,0.013157894736842106,0.02631565789605262,0.019736776316447362,0.02631565789605262,0.6578956578855264,0.019736776316447362,0.013157894736842106,0.02631565789605262,0.019736776316447362,0.013157894736842106,0.013157894736842106,0.006579013157236848,0.02631565789605262,0.019736776316447362,1.3157763159210515e-07
Leicester City,0.02631565789605262,0.013157894736842106,0.02631565789605262,0.013157894736842106,0.019736776316447362,0.02631565789605262,0.019736776316447362,0.006579013157236848,0.02631565789605262,0.006579013157236848,0.6644745394651317,0.02631565789605262,0.02631565789605262,0.02631565789605262,0.019736776316447362,0.013157894736842106,0.02631565789605262,0.013157894736842106,1.3157763159210515e-07,1.3157763159210515e-07
Liverpool,0.019736776316447362,0.006579013157236848,0.013157894736842106,0.013157894736842106,0.019736776316447362,0.013157894736842106,0.013157894736842106,0.006579013157236848,0.006579013157236848,0.013157894736842106,1.3157763159210515e-07,0.8157888157960524,0.013157894736842106,0.013157894736842106,1.3157763159210515e-07,0.013157894736842106,0.006579013157236848,1.3157763159210515e-07,1.3157763159210515e-07,0.013157894736842106
Manchester City,1.3157763159210515e-07,0.006579013157236848,1.3157763159210515e-07,0.02631565789605262,0.006579013157236848,1.3157763159210515e-07,1.3157763159210515e-07,0.006579013157236848,1.3157763159210515e-07,1.3157763159210515e-07,1.3157763159210515e-07,0.013157894736842106,0.9013142763309209,0.013157894736842106,0.006579013157236848,0.006579013157236848,1.3157763159210515e-07,0.013157894736842106,1.3157763159210515e-07,1.3157763159210515e-07
Manchester United,0.013157894736842106,0.013157894736842106,1.3157763159210515e-07,0.013157894736842106,0.02631565789605262,0.006579013157236848,0.006579013157236848,1.3157763159210515e-07,1.3157763159210515e-07,0.006579013157236848,1.3157763159210515e-07,0.013157894736842106,0.013157894736842106,0.8421043421144736,0.019736776316447362,1.3157763159210515e-07,0.006579013157236848,0.006579013157236848,0.013157894736842106,1.3157763159210515e-07
Newcastle United,0.019736776316447362,0.013157894736842106,0.013157894736842106,1.3157763159210515e-07,0.006579013157236848,0.006579013157236848,0.013157894736842106,1.3157763159210515e-07,1.3157763159210515e-07,0.013157894736842106,0.006579013157236848,0.02631565789605262,0.019736776316447362,0.006579013157236848,0.8421043421144736,1.3157763159210515e-07,1.3157763159210515e-07,1.3157763159210515e-07,0.006579013157236848,0.006579013157236848
Nottingham Forest,0.013157894736842106,0.019736776316447362,0.019736776316447362,0.019736776316447362,0.006579013157236848,0.013157894736842106,0.006579013157236848,0.013157894736842106,0.02631565789605262,0.013157894736842106,0.013157894736842106,0.013157894736842106,0.019736776316447362,0.02631565789605262,0.02631565789605262,0.6907900657835526,1.3157763159210515e-07,0.02631565789605262,0.013157894736842106,0.019736776316447362
Southampton,0.013157894736842106,0.02631565789605262,0.013157894736842106,0.02631565789605262,0.02631565789605262,1.3157763159210515e-07,0.02631565789605262,0.013157894736842106,0.02631565789605262,0.019736776316447362,1.3157763159210515e-07,0.019736776316447362,0.02631565789605262,0.019736776316447362,0.02631565789605262,0.02631565789605262,0.6250012499875002,0.019736776316447362,0.019736776316447362,0.02631565789605262
Tottenham Hotspur,0.02631565789605262,0.02631565789605262,0.013157894736842106,0.019736776316447362,1.3157763159210515e-07,0.006579013157236848,1.3157763159210515e-07,0.006579013157236848,1.3157763159210515e-07,1.3157763159210515e-07,0.013157894736842106,0.02631565789605262,0.013157894736842106,0.019736776316447362,0.02631565789605262,1.3157763159210515e-07,0.006579013157236848,0.7763155263184209,0.006579013157236848,0.013157894736842106
West Ham United,0.019736776316447362,0.006579013157236848,1.3157763159210515e-07,0.02631565789605262,0.02631565789605262,0.019736776316447362,0.02631565789605262,0.013157894736842106,1.3157763159210515e-07,0.006579013157236848,0.02631565789605262,0.02631565789605262,0.02631565789605262,0.013157894736842106,0.019736776316447362,0.013157894736842106,0.006579013157236848,0.019736776316447362,0.6907900657835526,0.013157894736842106
Wolverhampton Wanderers,0.02631565789605262,0.006579013157236848,0.019736776316447362,0.006579013157236848,0.02631565789605262,0.013157894736842106,0.013157894736842106,0.006579013157236848,0.013157894736842106,0.02631565789605262,0.02631565789605262,0.013157894736842106,0.02631565789605262,0.02631565789605262,0.019736776316447362,0.006579013157236848,1.3157763159210515e-07,0.013157894736842106,0.013157894736842106,0.6973689473631579
